method,instance,validity,proximity_l1,proximity_l2,sparsity,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft
CftsCOMTE,0,1,45.03109938014893,3.8730587231644202,0.0,0,0.0,0.6579826095828725,0.0,0.7086856732862025
CftsCOMTE,1,1,70.07510974473504,6.118268798881956,0.0,0,0.0,0.5237080071622693,0.0,0.619737111937288
CftsCOMTE,2,1,31.9561172858249,2.737899540863035,0.0,0,0.0,0.7239339286017189,0.0,0.8061197287220732
CftsCOMTE,3,1,33.46054082250873,2.762791449512057,0.0,0,0.0,0.711431389414172,0.0,0.7969301392319694
CftsCOMTE,4,1,25.053008848526932,2.045569683543603,0.0,0,0.0,0.7739998013088333,0.0,0.8398068329412083
CftsCOMTE,5,1,36.59227054152501,3.119761108770035,0.0,0,0.0,0.7255939424084314,0.0,0.8072168232704504
CftsCOMTE,6,1,51.43457550767016,4.5423740457640225,0.0,0,0.0,0.6155186143085817,0.0,0.7197999621673086
CftsCOMTE,7,1,33.27022634039267,2.7360560073435938,0.0,0,0.0,0.7273424799483837,0.0,0.7994718078928613
CftsCOMTE,8,1,49.544004726730876,4.338614801183913,0.0,0,0.0,0.658655649780674,0.0,0.7032459112776211
CftsCOMTE,9,1,54.05326577008186,5.101621904050344,0.0,0,0.0,0.6710183566850443,0.0,0.6778075171609234
CftsCOMTE,10,1,39.45088680398461,3.3518411036654134,0.0,0,0.0,0.6940062528224625,0.0,0.7482334640508873
CftsCOMTE,11,1,25.06643831799729,2.0466707931871806,0.0,0,0.0,0.665862917605147,0.0,0.8394052568596524
CftsCOMTE,12,1,43.193923809861715,3.593550662150381,0.0,0,0.0,0.6785020827516355,0.0,0.7366423548749698
CftsCOMTE,13,1,25.069670017826077,2.046976661230788,0.0,0,0.0,0.8032866731738211,0.0,0.8411747675477297
CftsCOMTE,14,1,25.134424149976006,2.052399070107445,0.0,0,0.0,0.6182096711478614,0.0,0.8159103055281492
CftsCOMTE,15,1,25.008549478550776,2.042223566890915,0.0,0,0.0,0.7583758855121783,0.0,0.8465039466135766
CftsCOMTE,16,1,25.143798333551242,2.0530100284039086,0.0,0,0.0,0.6424882143962284,0.0,0.8629969654040062
CftsCOMTE,17,1,33.97983149914198,2.8262717735488714,0.0,0,0.0,0.7278653033161464,0.0,0.78117577187548
CftsCOMTE,18,1,57.39136619523044,4.942630020604462,0.0,0,0.0,0.6811240735413907,0.0,0.6462429982285943
CftsCOMTE,19,1,32.88027821524661,2.7151714658974577,0.0,0,0.0,0.6908546573451896,0.0,0.8008086921250971
CftsConfeti,0,0,1.1086924486276156e-06,1.4362369750495716e-07,1.0,29,1.0,1.0,1.0,1.0
CftsConfeti,1,0,1.2643337709862795e-06,1.6440606915955788e-07,1.0,29,1.0,1.0,1.0,1.0
CftsConfeti,2,0,8.208307785638989e-07,1.0209921326710823e-07,1.0,29,1.0,1.0,1.0,1.0
CftsConfeti,3,1,24.688616918175292,3.7979032930398717,0.52,0,0.0,0.7797687263551925,0.0,0.8152417133886412
CftsConfeti,4,1,18.548799183022343,3.1150739690839115,0.5533333333333333,0,0.0,0.787104618183318,0.0,0.8612614463428921
CftsConfeti,5,1,30.143224470483965,4.6224285153695135,0.4666666666666667,0,0.0,0.7581094968356283,0.0,0.8246520350925167
CftsConfeti,6,0,1.1246021145040058e-06,1.5803866736179028e-07,1.0,29,1.0,1.0,1.0,1.0
CftsConfeti,7,1,29.999754894166337,4.705752824535646,0.4666666666666667,0,0.0,0.718564765537964,0.0,0.7784001111488424
CftsConfeti,8,1,23.544026931261197,3.529668032950542,0.48,0,0.0,0.7813543724034473,0.0,0.8156026211420853
CftsConfeti,9,0,7.745787436370423e-07,1.1418395121092692e-07,1.0,29,1.0,1.0,1.0,1.0
CftsConfeti,10,0,9.484405015659065e-07,1.2240560535673903e-07,1.0,29,1.0,1.0,1.0,1.0
CftsConfeti,11,1,24.879090565796126,4.068216690301897,0.58,0,0.0,0.7317116386926429,0.0,0.8482868114858341
CftsConfeti,12,1,23.36141150346983,3.6094925637343094,0.52,0,0.0,0.7703853397962884,0.0,0.8106004402711027
CftsConfeti,13,1,20.90828171207388,3.3149875113464375,0.5066666666666667,0,0.0,0.7648144712557425,0.0,0.821193371005321
CftsConfeti,14,1,29.181307886779855,4.366096980574898,0.5266666666666666,0,0.0,0.7356151958015649,0.0,0.8258737729592485
CftsConfeti,15,1,24.465800292060393,4.152754952486008,0.54,0,0.0,0.7449960949208954,0.0,0.7887369738369173
CftsConfeti,16,1,36.05760102979207,5.2263814103695,0.4533333333333333,0,0.0,0.7407040902816677,0.0,0.782962559047646
CftsConfeti,17,1,22.13703020586305,3.2311235402383396,0.4266666666666667,0,0.0,0.8164799306067855,0.0,0.8636447713012484
CftsConfeti,18,0,9.994978652229879e-07,1.4276135586048302e-07,1.0,29,1.0,1.0,1.0,1.0
CftsConfeti,19,0,7.91311993257604e-07,1.0565777928748986e-07,1.0,29,1.0,1.0,1.0,1.0
