method,instance,validity,proximity_l1,proximity_l2,sparsity,intervention_t,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft
Wachter,76,1,26.665518406323024,0.8462393795726584,0.0,0,0.0,0.7735237810825689,0.0,0.9740116564725745
Wachter,77,1,26.59989469563851,0.8461256602074715,0.0,0,0.0,0.7858941061985566,0.0,0.9736110164202257
Wachter,78,1,26.67777854701057,0.8491468434877393,0.0,0,0.0,0.7724286222723611,0.0,0.9739306899270522
Wachter,79,1,27.219569991376797,0.8723638385936269,0.0,0,0.0,0.7904091709224389,0.0,0.9735065760591692
Wachter,80,1,26.743029273590775,0.8510408929634294,0.0,0,0.0,0.7898330832042453,0.0,0.9735687810397848
Wachter,81,1,26.446463521438318,0.8382588679335199,0.0,0,0.0,0.7822879031924607,0.0,0.9738941675932447
Wachter,82,0,27.159697034015636,0.8699073174821068,0.0,0,0.0,0.7735303610046799,0.0,0.9733694320138349
Wachter,83,1,26.978097616701977,0.8623851413243956,0.0,0,0.0,0.7942698976210298,0.0,0.9737166396635234
Wachter,84,1,26.818021404695713,0.8540407272563227,0.0,0,0.0,0.7594740096517894,0.0,0.9734706400009445
Wachter,85,1,26.67180353784635,0.8468967208671397,0.0,0,0.0,0.7579143741232612,0.0,0.9733245843674455
Wachter,86,0,26.86118881061229,0.8537302718465586,0.0,0,0.0,0.7235431639187068,0.0,0.9737178757050403
Wachter,87,1,26.6859851418821,0.8536401956682824,0.0,0,0.0,0.7666225667554977,0.0,0.9737948010978106
Wachter,88,1,26.57099465555079,0.8444010695707379,0.0,0,0.0,0.7679655699832363,0.0,0.9735684517549669
Wachter,89,1,27.038528998935124,0.8626213269854526,0.0,0,0.0,0.7555111647085195,0.0,0.9733354077220321
Wachter,90,1,26.929980082582595,0.8601899420273824,0.0,0,0.0,0.795594012248137,0.0,0.973486150380058
Wachter,91,1,26.641567815916268,0.8505077612288585,0.0,0,0.0,0.7846663351117762,0.0,0.9735311749727326
Wachter,92,1,26.538254324568953,0.8423732913080104,0.0,0,0.0,0.789760228339972,0.0,0.9737442271810077
Wachter,93,1,26.58423131403474,0.8461186504089634,0.0,0,0.0,0.7866422956054994,0.0,0.9738818464744782
Wachter,94,1,26.665537417262396,0.8461832143785347,0.0,0,0.0,0.7642628336343718,0.0,0.9740009381505135
Wachter,95,1,26.48455352796688,0.8396662892263237,0.0,0,0.0,0.7671013876825596,0.0,0.9737699667544218
Wachter,96,1,26.731488673398538,0.8522607617212521,0.0,0,0.0,0.7736330114113794,0.0,0.9735387175396025
Wachter,97,1,26.43862272368235,0.838150356698869,0.0,0,0.0,0.7643494840350457,0.0,0.9738052455086903
Wachter,98,1,26.80296689329103,0.8515556942961034,0.0,0,0.0,0.774773079318183,0.0,0.9741009103290463
Wachter,99,0,27.535449393635464,0.8828992458492301,0.0,0,0.0,0.781646660260039,0.0,0.9727395948002958
DiCE,0,1,10.369325062640613,0.6220483509828242,0.0,0,0.0,0.7825556400848741,0.0,0.9895465848893542
DiCE,1,1,7.456379231051388,0.6083556226970361,0.0,0,0.0,0.7547588219704029,0.0,0.9924082201437908
DiCE,2,1,7.331163624416353,0.5047079502292898,0.0,0,0.0,0.7366405509954865,0.0,0.99257376804368
DiCE,3,1,9.572697671443997,0.7010610274800958,0.0,0,0.0,0.7524074252397741,0.0,0.9899952451144629
DiCE,4,1,12.979237061642273,0.8710272943900301,0.0,0,0.0,0.7805235457967429,0.0,0.9868739131562256
DiCE,5,1,6.122489902087986,0.5527572309883779,0.0,0,0.0,0.786838953673973,0.0,0.9929839370409135
DiCE,6,1,4.9410778939818325,0.41890272709668697,0.0,0,0.0,0.7906874730042789,0.0,0.9946511754623285
DiCE,7,1,8.100669354232998,0.5846909057177295,0.001,0,0.0,0.7852433632699424,0.0,0.9917954841443433
DiCE,8,1,6.071627985594613,0.4846216384806818,0.0,0,0.0,0.7583831959401303,0.0,0.9936104792058587
DiCE,9,1,8.189305695043743,0.7173058596084723,0.0,0,0.0,0.7360062546639652,0.0,0.9917056317845724
DiCE,10,1,9.954154842186874,0.7454748321324774,0.0,0,0.0,0.7786277937352977,0.0,0.9897637310539797
DiCE,11,1,10.317102358933656,0.6842706484926812,0.0,0,0.0,0.7783341204996431,0.0,0.9893615513381235
DiCE,12,1,7.767453346433621,0.5201887828525338,0.0,0,0.0,0.7604817242543233,0.0,0.9915214260061715
DiCE,13,1,8.03543359854603,0.5145471806380866,0.0,0,0.0,0.799840320038077,0.0,0.9918454817462827
DiCE,14,1,7.024983528331887,0.6744062577706439,0.0,0,0.0,0.741083470444487,0.0,0.9928601232295797
DiCE,15,1,7.460259803720558,0.5122411969944266,0.0,0,0.0,0.7664747706527385,0.0,0.9925535516390339
DiCE,16,1,10.370666232422842,0.6926394451768537,0.001,0,0.0,0.7855543122820641,0.0,0.9896846210006633
DiCE,17,1,7.413747670840959,0.6934775536636277,0.0,0,0.0,0.780882936533427,0.0,0.992478687011263
DiCE,18,1,10.280508940322008,0.7614272517564342,0.0,0,0.0,0.7590747807641669,0.0,0.9895876392388728
DiCE,19,1,8.066895957200085,0.7528938309153257,0.0,0,0.0,0.7821356780821177,0.0,0.9919515881969503
DiCE,20,1,5.165242720506881,0.4381223056792017,0.0,0,0.0,0.7880076116444631,0.0,0.9948214014004289
DiCE,21,1,11.058988929600986,0.7655493654981528,0.0,0,0.0,0.7566250031680427,0.0,0.9880534014469866
DiCE,22,1,7.332630991120741,0.4776285509930043,0.0,0,0.0,0.8018156689659178,0.0,0.9926163508384
DiCE,23,1,11.890594116692117,0.8075283893127148,0.0,0,0.0,0.7686784948098023,0.0,0.9881220960569804
DiCE,24,1,7.4123970294659465,0.5814733445229006,0.0,0,0.0,0.7651673994831829,0.0,0.9924457173705165
DiCE,25,1,5.9174826225506925,0.4859547276385525,0.0,0,0.0,0.7810622043907768,0.0,0.9938746555972108
DiCE,26,1,7.2750304688436085,0.5199763411492809,0.0,0,0.0,0.786164949326572,0.0,0.9925878817027131
DiCE,27,1,6.850961919586347,0.5359856031643109,0.0,0,0.0,0.7710884687909785,0.0,0.9919429749641805
DiCE,28,1,9.61185059483673,0.6900091027794911,0.0,0,0.0,0.7694692379853391,0.0,0.9903525267364991
DiCE,29,1,8.082705485869955,0.5859416901481383,0.0,0,0.0,0.79037609002888,0.0,0.9916605097901591
DiCE,30,1,5.61946073105802,0.44692895029595164,0.001,0,0.0,0.7854553525157338,0.0,0.9941706818923884
DiCE,31,1,6.686795634653911,0.5028720194778538,0.0,0,0.0,0.779666933117526,0.0,0.993178917169474
DiCE,32,1,5.9327312001551835,0.5200212321906345,0.0,0,0.0,0.7946384432385373,0.0,0.9935304224714719
DiCE,33,1,7.020046895593922,0.7374226039060273,0.001,0,0.0,0.7682335505774017,0.0,0.9912422245348668
DiCE,34,1,6.7310382499102595,0.5299157754490861,0.0,0,0.0,0.7670315792488162,0.0,0.9926068123981302
DiCE,35,1,8.215036037245838,0.7019315332619156,0.0,0,0.0,0.7546611224279639,0.0,0.9915448763972069
DiCE,36,1,9.50012858865384,0.6910545453131858,0.0,0,0.0,0.7747635354937494,0.0,0.9905245004589321
DiCE,37,1,8.748320273286286,0.6274165967350572,0.0,0,0.0,0.7814267538113697,0.0,0.9912254535913231
DiCE,38,1,6.322065384685537,0.5332754933117199,0.0,0,0.0,0.7787851878081259,0.0,0.9931844531950339
DiCE,39,1,6.194171244006191,0.6605771915073438,0.0,0,0.0,0.7700943306691465,0.0,0.9938401534343959
DiCE,40,1,9.547936278528283,0.7296859418483633,0.0,0,0.0,0.7570096488798448,0.0,0.990102845165975
DiCE,41,1,15.351608449437954,0.9360190975298555,0.0,0,0.0,0.7725526513978147,0.0,0.9829966090873373
DiCE,42,1,5.768067157926477,0.5752704891440625,0.0,0,0.0,0.7738359624691064,0.0,0.9936587303627311
DiCE,43,1,10.943032761004797,0.7825159862246232,0.0,0,0.0,0.7747076594845034,0.0,0.989113323175036
DiCE,44,1,9.03257925162967,0.6227663734919895,0.0,0,0.0,0.7739635924245413,0.0,0.9905519711023213
DiCE,45,1,6.180581758189246,0.4631997196178881,0.001,0,0.0,0.7782795542063392,0.0,0.9938334135222993
DiCE,46,1,6.96506936303431,0.6394050365189283,0.0,0,0.0,0.8028483174241138,0.0,0.9929428390707453
DiCE,47,1,7.126729739695469,0.5121123192665008,0.0,0,0.0,0.7719946139160785,0.0,0.9926901674693761
DiCE,48,1,6.288819193398415,0.5398702736240147,0.0,0,0.0,0.7718768188993884,0.0,0.9932014185086633
DiCE,49,1,11.534346080980637,1.0487316491799636,0.0,0,0.0,0.7537956100619989,0.0,0.9884571840605735
DiCE,50,1,5.423675061791642,0.4608459785325105,0.0,0,0.0,0.7805355453452748,0.0,0.9942518011594209
DiCE,51,1,12.592698366169401,0.959656812743691,0.0,0,0.0,0.7345675907862076,0.0,0.9862874977191377
DiCE,52,1,9.823351039855114,0.7447959348674251,0.0,0,0.0,0.7787758012117787,0.0,0.9897054603493335
DiCE,53,1,7.741253626998451,0.6450787471797723,0.0,0,0.0,0.7845083912622411,0.0,0.9921334280057502
DiCE,54,1,7.222617887311322,0.6612821333737086,0.0,0,0.0,0.7683537961097542,0.0,0.992189838308415
DiCE,55,1,6.82367491328943,0.487627651237557,0.0,0,0.0,0.7836771001326712,0.0,0.9931252983160291
DiCE,56,1,4.510080870945419,0.3642069679985157,0.001,0,0.0,0.7901113397536476,0.0,0.9954687982658182
DiCE,57,1,7.917976992258062,0.59731977225308,0.0,0,0.0,0.7706211487089223,0.0,0.9916567443722973
DiCE,58,1,7.402324521572873,0.5792168012003619,0.0,0,0.0,0.7801234641812993,0.0,0.9924920093611111
DiCE,59,1,6.476475613403,0.46002956555732594,0.0,0,0.0,0.7471143347975817,0.0,0.9935169711779986
DiCE,60,1,12.540330213721216,0.7924267534869388,0.0,0,0.0,0.793288737574697,0.0,0.9870832040730523
DiCE,61,1,7.582836004859368,0.6100144195022608,0.0,0,0.0,0.7669300864983152,0.0,0.9923559652237625
DiCE,62,1,6.663815430720128,0.6223158884922498,0.0,0,0.0,0.7755210228915841,0.0,0.9933380454488198
DiCE,63,1,6.135306414190968,0.4615333886855377,0.0,0,0.0,0.7315855137433643,0.0,0.9933000038071342
DiCE,64,1,5.548240996598732,0.5213675542463656,0.0,0,0.0,0.7672446426871184,0.0,0.9944036026097379
