method,instance,t0,horizon,no_op,n_intervened_channels,validity,proximity_l1,proximity_l2,sparsity,ood
CftsConfeti,15,0,100,False,3,1.0,1705.7954855382136,140.63567858479072,0.4766666666666667,0.09656586346074136
CftsConfeti,16,0,100,False,3,1.0,1619.7378477713967,129.44109304943814,0.47,0.10584249576462706
CftsConfeti,17,0,100,False,1,1.0,1788.081018743993,139.35627728644715,0.49166666666666664,0.10964706472971464
CftsConfeti,18,0,100,False,2,1.0,1732.8371815507373,134.9519335274638,0.5033333333333333,0.08845037173267956
CftsConfeti,19,0,100,False,3,1.0,1601.1252756149154,129.73014375589014,0.475,0.09964367214947334
CftsConfeti,20,None,None,True,0,0.0,1.0694797903360032e-05,7.08023745150777e-07,1.0,0.19263701373875386
CftsConfeti,23,None,None,True,0,0.0,1.3437956276727767e-05,9.595470063368774e-07,1.0,0.1783083283981316
CftsConfeti,25,None,None,True,0,0.0,1.3942909390876265e-05,9.382023136236706e-07,1.0,0.17994472006556178
CftsConfeti,26,None,None,True,0,0.0,1.3302632777706727e-05,8.539083953646889e-07,1.0,0.19464189678266924
CftsConfeti,27,None,None,True,0,0.0,1.5947272270579443e-05,1.1852083546523008e-06,1.0,0.15916421076018383
CftsConfeti,28,None,None,True,0,0.0,1.2091585009517056e-05,8.467175722147415e-07,1.0,0.1901015037304224
CftsConfeti,29,None,None,True,0,0.0,1.4753658953216807e-05,1.0377760165182824e-06,1.0,0.18367517650409337
CftsCounts,0,0,100,False,6,1.0,702.6285364419991,44.45011914221723,0.013333333333333334,0.1951244323134364
CftsCounts,1,0,100,False,6,1.0,505.9138129299091,30.18364292406664,0.0033333333333333335,0.20324023420914472
CftsCounts,2,0,100,False,6,0.0,327.83110063243055,20.84655655672816,0.0016666666666666668,0.20905240253763274
CftsCounts,3,0,100,False,6,1.0,501.09062814196534,27.184557045271262,0.0016666666666666668,0.2013163931608039
CftsCounts,4,0,100,False,6,1.0,580.2295891594226,34.25587523063095,0.0016666666666666668,0.1976437574401777
CftsCounts,5,0,100,False,6,1.0,508.89377009014584,28.891225617400732,0.0,0.20308005062766316
CftsCounts,6,0,100,False,6,0.0,134.98716371980356,7.683729868414917,0.006666666666666667,0.2104124669447866
CftsCounts,7,0,100,False,6,0.0,187.75049614835225,10.481911063724034,0.0016666666666666668,0.21050515608712944
CftsCounts,8,0,100,False,6,1.0,376.4570057996675,21.096129743985543,0.0016666666666666668,0.20660764387304997
CftsCounts,9,0,100,False,6,0.0,237.92962236940838,14.83197977546812,0.0033333333333333335,0.2117095284735392
CftsCounts,10,0,100,False,6,1.0,2607.0726292748486,148.2894053487393,0.0,0.19023248021304018
CftsCounts,11,0,100,False,6,1.0,2911.1151290803814,167.3559670906873,0.0,0.1952092073741617
CftsCounts,12,0,100,False,6,1.0,2823.8581753338285,161.20142868751051,0.0016666666666666668,0.19108450637719782
CftsCounts,13,0,100,False,6,1.0,2779.799966626936,156.4937364081463,0.0,0.19273993264227074
CftsCounts,14,0,100,False,6,1.0,2879.762214641698,161.53663208347828,0.0,0.19199211486167794
CftsCounts,15,0,100,False,6,1.0,3147.7636042579065,185.16547886451482,0.0,0.1909033332377124
CftsCounts,16,0,100,False,6,1.0,2947.8708525934962,169.16925489087072,0.0,0.191195516418527
CftsCounts,17,0,100,False,6,1.0,3216.4326193061906,181.91733423390895,0.0,0.18910530878136395
CftsCounts,18,0,100,False,6,1.0,3176.432589287617,173.53896204646546,0.0,0.1933525632477891
CftsCounts,19,0,100,False,6,1.0,2656.8536120555204,157.23433069393516,0.0,0.19251655591034406
CftsCounts,20,0,100,False,6,1.0,712.5896838432415,40.55404395199712,0.0016666666666666668,0.19698294000666333
CftsCounts,23,0,100,False,6,1.0,747.3685377777927,42.15628536444042,0.0016666666666666668,0.19728753654129538
CftsCounts,25,0,100,False,6,1.0,740.5614631385503,43.02107261997632,0.0,0.2050188620194609
CftsCounts,26,0,100,False,6,1.0,753.2025004924467,42.451766722566745,0.0016666666666666668,0.20039350641875225
CftsCounts,27,0,100,False,6,1.0,858.2063714850683,51.4428029421569,0.0,0.1984823902972213
CftsCounts,28,0,100,False,6,1.0,734.7746422252267,42.3685921025635,0.0,0.19728687747977813
CftsCounts,29,0,100,False,6,1.0,809.5096285576824,45.894408895159394,0.0016666666666666668,0.1953488376526678
CftsCels,0,2,98,False,2,1.0,125.4515759027366,31.539173150303537,0.705,0.1860141158352281
CftsCels,1,4,96,False,2,1.0,133.98081298640682,34.13889133434984,0.7166666666666667,0.2001948737452789
CftsCels,2,4,96,False,1,1.0,132.58278653004015,32.32909293636121,0.6833333333333333,0.184504093940502
CftsCels,3,6,94,False,2,1.0,138.62083763672842,34.62869345037752,0.6983333333333334,0.19314452731965553
CftsCels,4,8,92,False,2,1.0,122.15955113217815,29.58213601844799,0.715,0.19810439076784087
CftsCels,5,2,98,False,1,1.0,130.16923804730044,32.55792274928124,0.705,0.20107336651742663
CftsCels,6,1,99,False,1,1.0,141.69499409929577,35.606575977650145,0.7133333333333334,0.19323298830100194
