dataset,classifier,method,metric,value
full,lstm,CftsWachter,pns_PS_do_complexity_mean,98.32
full,lstm,CftsWachter,pns_PS_do_complexity_median,100.0
full,lstm,CftsWachter,pns_PS_frac_no_intervention,0.0
full,lstm,CftsWachter,pns_PS_n,100.0
full,lstm,CftsWachter,pns_PS_n_scorable,100.0
full,lstm,CftsWachter,proximity_l1,344.8840107136436
full,lstm,CftsWachter,proximity_l2,16.871823961575267
full,lstm,CftsWachter,scm_noise_plausibility,0.8560817543451605
full,lstm,CftsWachter,shift_vr,1.0333333333333334
full,lstm,CftsWachter,sparsity,0.049850000000000005
full,lstm,CftsWachter,sparsity_channels,0.0
full,lstm,CftsWachter,sparsity_timepoints,0.0209
full,lstm,CftsWachter,trsi,1.3715003205159988
full,lstm,CftsWachter,validity,0.9
full,lstm,CftsWachter,validity_base,0.9
full,lstm,CftsWachter,validity_shift,0.93
full,lstm,NoiselessSCMRecourse,cf_faith_pearl_hard,0.0
full,lstm,NoiselessSCMRecourse,cf_faith_pearl_hard_given_valid,0.0
full,lstm,NoiselessSCMRecourse,cf_faith_pearl_hard_valid,0.0
full,lstm,NoiselessSCMRecourse,cf_faith_pearl_soft,0.7739143353536063
full,lstm,NoiselessSCMRecourse,cf_faith_rollout_hard,1.0
full,lstm,NoiselessSCMRecourse,cf_faith_rollout_hard_given_valid,1.0
full,lstm,NoiselessSCMRecourse,cf_faith_rollout_hard_valid,1.0
full,lstm,NoiselessSCMRecourse,cf_faith_rollout_soft,0.9999999953339909
full,lstm,NoiselessSCMRecourse,do_complexity_mean,75.0
full,lstm,NoiselessSCMRecourse,do_complexity_mean_all,75.0
full,lstm,NoiselessSCMRecourse,do_complexity_mean_pearl_scorable,75.0
full,lstm,NoiselessSCMRecourse,do_complexity_median,75.0
full,lstm,NoiselessSCMRecourse,do_complexity_stability,1.013513513513514
full,lstm,NoiselessSCMRecourse,frac_degenerate,0.0
full,lstm,NoiselessSCMRecourse,frac_no_do_schedule,0.0
full,lstm,NoiselessSCMRecourse,frac_vacuous,0.0
full,lstm,NoiselessSCMRecourse,n,100.0
full,lstm,NoiselessSCMRecourse,n_cf_faith_scorable,100.0
full,lstm,NoiselessSCMRecourse,n_do_scorable,100.0
full,lstm,NoiselessSCMRecourse,ood,0.07680277378645446
full,lstm,NoiselessSCMRecourse,pns_PS_A_model_proposed,1.0
full,lstm,NoiselessSCMRecourse,pns_PS_B_model_oracle,0.0
full,lstm,NoiselessSCMRecourse,pns_PS_C_world_oracle,0.0
full,lstm,NoiselessSCMRecourse,pns_PS_delta_outcome,0.0
full,lstm,NoiselessSCMRecourse,pns_PS_delta_total,1.0
full,lstm,NoiselessSCMRecourse,pns_PS_delta_trajectory,1.0
full,lstm,NoiselessSCMRecourse,pns_PS_do_complexity_mean,75.0
full,lstm,NoiselessSCMRecourse,pns_PS_do_complexity_median,75.0
full,lstm,NoiselessSCMRecourse,pns_PS_frac_no_intervention,0.0
full,lstm,NoiselessSCMRecourse,pns_PS_n,100.0
full,lstm,NoiselessSCMRecourse,pns_PS_n_scorable,100.0
full,lstm,NoiselessSCMRecourse,proximity_l1,192.45582696468608
full,lstm,NoiselessSCMRecourse,proximity_l2,9.461591124565187
full,lstm,NoiselessSCMRecourse,scm_noise_plausibility,0.2485453828339019
full,lstm,NoiselessSCMRecourse,shift_vr,1.0
full,lstm,NoiselessSCMRecourse,sparsity,0.25346
full,lstm,NoiselessSCMRecourse,sparsity_channels,0.0
full,lstm,NoiselessSCMRecourse,sparsity_timepoints,0.25
full,lstm,NoiselessSCMRecourse,trsi,1.4009715925621973
full,lstm,NoiselessSCMRecourse,validity,1.0
full,lstm,NoiselessSCMRecourse,validity_base,1.0
full,lstm,NoiselessSCMRecourse,validity_shift,1.0
full,lstm,PearlSCMRecourse,cf_faith_pearl_hard,1.0
full,lstm,PearlSCMRecourse,cf_faith_pearl_hard_given_valid,1.0
full,lstm,PearlSCMRecourse,cf_faith_pearl_hard_valid,0.64
full,lstm,PearlSCMRecourse,cf_faith_pearl_soft,0.9999991860032229
full,lstm,PearlSCMRecourse,cf_faith_rollout_hard,0.0
full,lstm,PearlSCMRecourse,cf_faith_rollout_hard_given_valid,0.0
full,lstm,PearlSCMRecourse,cf_faith_rollout_hard_valid,0.0
full,lstm,PearlSCMRecourse,cf_faith_rollout_soft,0.7773229547294317
full,lstm,PearlSCMRecourse,do_complexity_mean,1.0
full,lstm,PearlSCMRecourse,do_complexity_mean_all,1.0
full,lstm,PearlSCMRecourse,do_complexity_mean_pearl_scorable,1.0
full,lstm,PearlSCMRecourse,do_complexity_median,1.0
full,lstm,PearlSCMRecourse,do_complexity_stability,1.0
full,lstm,PearlSCMRecourse,frac_degenerate,0.0
full,lstm,PearlSCMRecourse,frac_no_do_schedule,0.0
full,lstm,PearlSCMRecourse,frac_vacuous,0.0
full,lstm,PearlSCMRecourse,n,100.0
full,lstm,PearlSCMRecourse,n_cf_faith_scorable,100.0
full,lstm,PearlSCMRecourse,n_do_scorable,100.0
full,lstm,PearlSCMRecourse,ood,-0.08788994024934281
full,lstm,PearlSCMRecourse,pns_PS_A_model_proposed,0.64
full,lstm,PearlSCMRecourse,pns_PS_B_model_oracle,0.64
full,lstm,PearlSCMRecourse,pns_PS_C_world_oracle,0.35
full,lstm,PearlSCMRecourse,pns_PS_delta_outcome,0.29000000000000004
full,lstm,PearlSCMRecourse,pns_PS_delta_total,0.29000000000000004
full,lstm,PearlSCMRecourse,pns_PS_delta_trajectory,0.0
full,lstm,PearlSCMRecourse,pns_PS_do_complexity_mean,1.0
full,lstm,PearlSCMRecourse,pns_PS_do_complexity_median,1.0
full,lstm,PearlSCMRecourse,pns_PS_frac_no_intervention,0.0
full,lstm,PearlSCMRecourse,pns_PS_n,100.0
full,lstm,PearlSCMRecourse,pns_PS_n_scorable,100.0
full,lstm,PearlSCMRecourse,proximity_l1,2444.348610611296
full,lstm,PearlSCMRecourse,proximity_l2,230.36875553350234
full,lstm,PearlSCMRecourse,scm_noise_plausibility,0.4176020047161301
full,lstm,PearlSCMRecourse,shift_vr,1.171875
full,lstm,PearlSCMRecourse,sparsity,0.49838
full,lstm,PearlSCMRecourse,sparsity_channels,0.0
full,lstm,PearlSCMRecourse,sparsity_timepoints,0.4975
full,lstm,PearlSCMRecourse,trsi,1.723507572262609
full,lstm,PearlSCMRecourse,validity,0.64
full,lstm,PearlSCMRecourse,validity_base,0.64
full,lstm,PearlSCMRecourse,validity_shift,0.75
full,lstm,TSCausal,cf_faith_pearl_hard,0.0
full,lstm,TSCausal,cf_faith_pearl_hard_given_valid,0.0
full,lstm,TSCausal,cf_faith_pearl_hard_valid,0.0
full,lstm,TSCausal,cf_faith_pearl_soft,0.7721848716056035
full,lstm,TSCausal,cf_faith_rollout_hard,0.55
full,lstm,TSCausal,cf_faith_rollout_hard_given_valid,0.55
full,lstm,TSCausal,cf_faith_rollout_hard_valid,0.55
full,lstm,TSCausal,cf_faith_rollout_soft,0.9990071315676536
full,lstm,TSCausal,do_complexity_mean,100.0
full,lstm,TSCausal,do_complexity_mean_all,100.0
full,lstm,TSCausal,do_complexity_mean_pearl_scorable,100.0
full,lstm,TSCausal,do_complexity_median,100.0
full,lstm,TSCausal,do_complexity_stability,1.0
full,lstm,TSCausal,frac_degenerate,0.0
full,lstm,TSCausal,frac_no_do_schedule,0.0
full,lstm,TSCausal,frac_vacuous,0.0
full,lstm,TSCausal,n,100.0
full,lstm,TSCausal,n_cf_faith_scorable,100.0
full,lstm,TSCausal,n_do_scorable,100.0
full,lstm,TSCausal,ood,0.09910261866346196
full,lstm,TSCausal,pns_PS_A_model_proposed,1.0
full,lstm,TSCausal,pns_PS_B_model_oracle,0.0
full,lstm,TSCausal,pns_PS_C_world_oracle,0.0
full,lstm,TSCausal,pns_PS_delta_outcome,0.0
full,lstm,TSCausal,pns_PS_delta_total,1.0
full,lstm,TSCausal,pns_PS_delta_trajectory,1.0
full,lstm,TSCausal,pns_PS_do_complexity_mean,100.0
full,lstm,TSCausal,pns_PS_do_complexity_median,100.0
full,lstm,TSCausal,pns_PS_frac_no_intervention,0.0
full,lstm,TSCausal,pns_PS_n,100.0
full,lstm,TSCausal,pns_PS_n_scorable,100.0
full,lstm,TSCausal,proximity_l1,267.9190888513669
full,lstm,TSCausal,proximity_l2,11.296870582479619
full,lstm,TSCausal,scm_noise_plausibility,0.0010104338744003887
full,lstm,TSCausal,shift_vr,1.0
full,lstm,TSCausal,sparsity,0.0027800000000000004
full,lstm,TSCausal,sparsity_channels,0.0
full,lstm,TSCausal,sparsity_timepoints,0.0
