benchmark,classifier,method,n,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,n_cf_faith_scorable,frac_degenerate,n_vacuous,frac_vacuous,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke,lstm,CftsWachter,20,1.0,62.92549532278814,7.487092433166138,0.007333333333333333,0.0,0.0,1.1569938935702035,0.7207050788743748,0.0,0.7466560203081807,0.0,0.6842758827541933,20,0.0,0,0.0,0.0,0.0
smoke,lstm,PearlCARLA,20,0.95,44.288854117169606,8.27092162740758,0.5850000000000002,0.0,0.4883333333333333,0.9121352997907449,0.8967254450748549,0.0,0.7831221890658806,1.0,0.9999999535278821,20,0.0,0,0.0,0.0,0.95
smoke,lstm,CARLA,20,1.0,27.259981714070356,4.2293553453922605,0.44866666666666666,0.0,0.4416666666666666,1.0697201691417533,0.4678494303083312,1.0,0.9999999907854582,0.0,0.7768120258239672,20,0.0,0,0.0,1.0,0.0
smoke,lstm,CftsCels,20,1.0,2.0378125957221243,0.8607593670894399,0.6036666666666666,0.0,0.3483333333333333,1.094918000240345,0.9312012424130527,0.0,0.7883883376349605,0.0,0.9807350981827673,20,0.0,0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,20,1.0,47.88365125725156,4.049266693045636,0.0,0.0,0.0,0.4774675244283178,0.26193574914941786,0.0,0.6472550781911817,0.0,0.7223821307985377,20,0.0,0,0.0,0.0,0.0
smoke,lstm,CftsConfeti,20,0.4,9.571234250986496,1.5157733348855742,0.8096666666666668,0.6,0.61,1.4421223814481285,0.7201587535187187,0.0,0.7835043923195887,0.0,0.8389413122618643,8,0.6,12,0.6,0.0,0.0
smoke,lstm,CftsCounts,20,0.5,39.74129190309455,4.699909006718462,0.003,0.0,0.0,1.3389177402704222,0.1986454086936201,0.0,0.8866096229456863,0.0,0.7838488682001566,20,0.0,0,0.0,0.0,0.0
smoke,lstm,CftsWachter,20,1.0,62.92549532278814,7.487092433166138,0.007333333333333333,0.0,0.0,1.1569938935702035,0.7207050788743748,0.0,0.7466560203081807,0.0,0.6842758827541933,20,0.0,0,0.0,0.0,0.0
smoke,lstm,PearlCARLA,20,0.95,44.288854117169606,8.27092162740758,0.5850000000000002,0.0,0.4883333333333333,0.9121352997907449,0.8967254450748549,0.0,0.7831221890658806,1.0,0.9999999535278821,20,0.0,0,0.0,0.0,0.95
smoke,lstm,CARLA,20,1.0,27.259981714070356,4.2293553453922605,0.44866666666666666,0.0,0.4416666666666666,1.0697201691417533,0.4678494303083312,1.0,0.9999999907854582,0.0,0.7768120258239672,20,0.0,0,0.0,1.0,0.0
smoke,lstm,CftsCels,20,1.0,2.0378125957221243,0.8607593670894399,0.6036666666666666,0.0,0.3483333333333333,1.094918000240345,0.9312012424130527,0.0,0.7883883376349605,0.0,0.9807350981827673,20,0.0,0,0.0,0.0,0.0
smoke,lstm,CftsCOMTE,20,1.0,47.88365125725156,4.049266693045636,0.0,0.0,0.0,0.4774675244283178,0.26193574914941786,0.0,0.6472550781911817,0.0,0.7223821307985377,20,0.0,0,0.0,0.0,0.0
smoke,lstm,CftsConfeti,20,0.4,9.571234250986496,1.5157733348855742,0.8096666666666668,0.6,0.61,1.4421223814481285,0.7201587535187187,0.0,0.7835043923195887,0.0,0.8389413122618643,8,0.6,12,0.6,0.0,0.0
smoke,lstm,CftsCounts,20,0.5,39.74129190309455,4.699909006718462,0.003,0.0,0.0,1.3389177402704222,0.1986454086936201,0.0,0.8866096229456863,0.0,0.7838488682001566,20,0.0,0,0.0,0.0,0.0
smoke,lstm,CftsWachter,20,1.0,62.92549532278814,7.487092433166138,0.007333333333333333,0.0,0.0,1.1569938935702035,0.7207050788743748,0.0,0.7466560203081807,0.0,0.6842758827541933,20,0.0,0,0.0,0.0,0.0
smoke,lstm,PearlCARLA,20,0.95,44.288854117169606,8.27092162740758,0.5850000000000002,0.0,0.4883333333333333,0.9121352997907449,0.8967254450748549,0.0,0.7831221890658806,1.0,0.9999999535278821,20,0.0,0,0.0,0.0,0.95
smoke_nl,lstm,CARLA,20,1.0,13.693911219058055,1.7538444086373002,0.26966666666666667,0.0,0.26666666666666666,0.9915952094607248,0.2749761847497643,1.0,0.999999999370474,0.0,0.8841197091788506,20,0.0,0,0.0,1.0,0.0
smoke_nl,lstm,CftsCels,20,1.0,0.6251100717489009,0.2819706082775685,0.8223333333333332,0.01,0.6083333333333333,0.9110092532570784,0.9363577244901157,0.0,0.8932396813938264,0.0,0.9911003749211675,20,0.0,0,0.0,0.0,0.0
smoke_nl,lstm,CftsCOMTE,20,1.0,35.93600617038334,2.9970204126668762,0.0003333333333333334,0.0,0.0,0.5492104455378837,0.5562732507798174,0.0,0.7944140631946073,0.0,0.8011151232944094,20,0.0,0,0.0,0.0,0.0
smoke_nl,lstm,CftsConfeti,20,0.6,7.519390689259039,1.0904983479434658,0.6990000000000001,0.4,0.41666666666666663,1.412448436998056,0.8488362184863009,0.0,0.8898263050892848,0.0,0.9201605532413258,12,0.4,8,0.4,0.0,0.0
smoke_nl,lstm,CftsCounts,20,0.8,19.63732665199756,2.1082187854607763,0.0036666666666666666,0.0,0.0,0.952749052014911,0.050736440164570754,0.0,0.989932889782953,0.0,0.8816522142310024,20,0.0,0,0.0,0.0,0.0
smoke_nl,lstm,CftsWachter,20,1.0,24.819104405508643,2.7357238553991827,0.009999999999999998,0.0,0.0,0.9403857839530179,0.9252903844017192,0.0,0.8909212782567465,0.0,0.8518390032781511,20,0.0,0,0.0,0.0,0.0
smoke_nl,lstm,PearlCARLA,20,0.0,1.787222938377478,0.5307822103790901,0.6873333333333335,0.01,0.4716666666666667,0.6773769959815003,0.9385535454638025,0.0,0.8852194749604475,1.0,0.9999999933122657,20,0.0,0,0.0,0.0,0.0
smoke_interior_label,lstm,CARLA,20,1.0,40.40015891604788,5.83857611379317,0.3396666666666667,0.0,0.3366666666666666,0.9517810345446691,0.3937374881154684,1.0,0.9999999876214607,0.0,0.7482213340168233,20,0.0,0,0.0,1.0,0.0
smoke_interior_label,lstm,CftsCels,20,0.9,17.259149176321454,3.130827859729654,0.24733333333333332,0.0,0.06666666666666668,1.339926838932913,0.8736993706184343,0.0,0.7821781937097851,0.0,0.8894849810664714,20,0.0,0,0.0,0.0,0.0
smoke_interior_label,lstm,CftsCOMTE,20,1.0,257.99667321258977,25.640032034746277,0.0003333333333333334,0.0,0.0,0.2853743310213531,0.07387900656066756,0.0,0.2376182418687355,0.0,0.2229740803792571,20,0.0,0,0.0,0.0,0.0
smoke_interior_label,lstm,CftsConfeti,20,0.95,30.45284022322848,4.703047100371489,0.5053333333333333,0.05,0.08833333333333336,1.3337059019459967,0.4350587011431569,0.0,0.7856948242123695,0.0,0.788465694793356,19,0.050000000000000044,1,0.05,0.0,0.0
smoke_interior_label,lstm,CftsCounts,20,0.5,42.76427229211396,5.250719004669818,0.004666666666666667,0.0,0.0,1.3297375604754396,0.2069502950684349,0.0,0.8905884802369419,0.0,0.763599329175344,20,0.0,0,0.0,0.0,0.0
smoke_interior_label,lstm,CftsWachter,20,1.0,67.07898419214874,8.093870891139245,0.0023333333333333335,0.0,0.0,1.1151513464258154,0.7256001268907835,0.0,0.7569218090656703,0.0,0.6691296035018055,20,0.0,0,0.0,0.0,0.0
smoke_interior_label,lstm,PearlCARLA,20,1.0,34.205657866803136,6.04160288724491,0.5840000000000002,0.0,0.4883333333333333,0.7470478913960261,0.9122974007928251,0.0,0.7582784739618001,1.0,0.9999999692580145,20,0.0,0,0.0,0.0,1.0
full,lstm,CARLA,100,1.0,192.43677036460508,9.461440807679235,0.25729,0.0,0.25,1.4009771554592405,0.24855163563287067,1.0,0.9999999951730806,0.0,0.7739143352839694,100,0.0,0,0.0,1.0,0.0
full,lstm,CftsCels,100,0.81,0.5355423550960324,0.3111562642165985,0.9772699999999999,0.26,0.9291999999999999,1.1797756556899532,0.9776635867633524,0.0,0.8505365315320348,0.12903225806451613,0.9923799645878936,93,0.06999999999999995,7,0.07,0.0,0.0
full,lstm,CftsCOMTE,100,1.0,436.8113425987998,17.98445677895957,0.3149199999999999,0.0,0.16770000000000004,0.7726661492310092,0.4822730794708409,0.0,0.7068200050074107,0.0,0.8349931218454694,100,0.0,0,0.0,0.0,0.0
full,lstm,CftsConfeti,100,0.54,89.82811230544556,5.218053057975585,0.7333500000000001,0.46,0.4604,1.4384642749434895,0.6501636243219286,0.0,0.7866929718626591,0.0,0.8395310386430107,54,0.45999999999999996,46,0.46,0.0,0.0
full,lstm,CftsWachter,100,0.99,341.03906569513725,15.275374459800823,0.015849999999999996,0.0,0.0033,1.4033329822202245,0.9100878836663499,0.0,0.7790453331918777,0.0,0.7196139640110724,100,0.0,0,0.0,0.0,0.0
full,lstm,PearlCARLA,100,0.0,1.3740891598294829,0.12572205151237895,0.8238499999999999,0.065,0.7008999999999999,1.727589284850558,0.9779039925514289,0.0,0.7737442375923299,1.0,0.9999999647100226,99,0.010000000000000009,1,0.01,0.0,0.0
full_nl,lstm,CARLA,100,0.0,96.05883132348954,4.743377452192895,0.26441000000000003,0.0,0.26,0.941418895410258,0.2537267953023104,1.0,0.9999999998448336,0.0,0.8798070685515751,100,0.0,100,1.0,0.0,0.0
