benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid,horizon,t0,t_label,label_horizon
full_nl_seed1,lstm,PearlCARLA,4,1,2.5835471490998034,0.6955920694963214,0.959,0.0,0.95,0.7264434469627645,0.9771698324424806,95,0,0.0,0.9343597714882873,1.0,0.9999999939283272,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,5,1,3.1695434030101484,0.8440283018082055,0.957,0.0,0.95,0.712025793703903,0.9948386141937556,95,0,0.0,0.9360675276230054,1.0,0.9999999954822298,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,6,1,14.35210621121834,3.802799617650457,0.95,0.0,0.95,0.7117495367003925,0.953041820718048,95,0,0.0,0.8631036745193595,1.0,0.9999999903266069,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,7,1,5.797021206724246,1.5497692178872116,0.952,0.0,0.95,0.7304246966974642,0.9748379972289185,95,0,0.0,0.8959947709877077,1.0,0.9999999922615989,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,8,1,30.540257174748728,8.299291202486545,0.95,0.0,0.95,0.7387402988326239,0.8894101232523384,95,0,0.0,0.9010366076371606,1.0,0.9999999823736613,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,PearlCARLA,9,1,4.402495058012476,1.1763609496290166,0.958,0.1,0.95,0.7155466850187256,0.9674186963069727,95,0,0.0,0.9148987536759398,1.0,0.9999999944547747,0.0,1.0,5,95,99,4
full_nl_seed1,lstm,CARLA,0,1,13.205391848661282,1.9321163872545006,0.902,0.0,0.9,0.7895308838671694,0.9286403844354838,90,0,1.0,0.9999999988835397,0.0,0.9025143061086175,1.0,0.0,10,90,99,9
full_nl_seed1,lstm,CARLA,1,1,13.834954954822782,1.8655696214609878,0.901,0.0,0.9,0.7279976453272436,0.9446402225723894,90,0,1.0,0.9999999980482681,0.0,0.8851327130371398,1.0,0.0,10,90,99,9
full_nl_seed1,lstm,CARLA,2,1,18.537517817673,2.8576310193779335,0.901,0.0,0.9,0.6624547915171944,0.9307048507601653,90,0,1.0,0.999999998479759,0.0,0.8531737627542249,1.0,0.0,10,90,99,9
full_nl_seed1,lstm,CARLA,3,1,13.270327372387802,1.782130875499422,0.901,0.0,0.9,0.8781483855268438,0.9148896652396512,90,0,1.0,0.9999999968845081,0.0,0.8839372141589328,1.0,0.0,10,90,99,9
full_nl_seed1,lstm,CARLA,4,1,13.511255189113166,1.9795127353447501,0.902,0.0,0.9,0.7089843959129384,0.8970484993692753,90,0,1.0,0.9999999980032227,0.0,0.8843282411718867,1.0,0.0,10,90,99,9
