benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_seed2,lstm,CARLA,26,0,131.23184213030407,6.447543738879791,0.257,0.0,0.25,1.4330386542850506,25,0,1.0,0.9999999966445374,0.0,0.8395306306338417,0.0,0.0
full_seed2,lstm,CARLA,27,0,142.31910233635688,6.914246536309619,0.258,0.0,0.25,1.3580639855739343,25,0,1.0,0.9999999980060063,0.0,0.8272289788443229,0.0,0.0
full_seed2,lstm,CARLA,28,0,167.4214311611801,8.658498432885818,0.256,0.0,0.25,1.3320583709179337,25,0,1.0,0.9999999971407645,0.0,0.7998874601755239,0.0,0.0
full_seed2,lstm,CARLA,29,0,148.15074199331679,7.344302829861317,0.254,0.0,0.25,1.2872716783213043,25,0,1.0,0.9999999962802962,0.0,0.8208084797063885,0.0,0.0
full_seed2,lstm,CARLA,30,0,146.34569383369336,7.39914183226707,0.258,0.0,0.25,1.3628781830634082,25,0,1.0,0.9999999972112622,0.0,0.8228035800168103,0.0,0.0
full_seed2,lstm,CARLA,31,0,143.82802053224296,7.317882327117587,0.258,0.0,0.25,1.3264178935362378,25,0,1.0,0.9999999987370923,0.0,0.8254964121286789,0.0,0.0
full_seed2,lstm,CARLA,32,0,149.06030316774593,7.498622197964657,0.257,0.0,0.25,1.331013734925321,25,0,1.0,0.9999999985191927,0.0,0.8197239876172292,0.0,0.0
full_seed2,lstm,CARLA,33,0,148.0314513396135,7.6850034273214325,0.257,0.0,0.25,1.339009961469016,25,0,1.0,0.9999999988852014,0.0,0.8209729042024737,0.0,0.0
full_seed2,lstm,CARLA,34,0,158.8591382478062,8.097701355849512,0.257,0.0,0.25,1.3379055631131114,25,0,1.0,0.9999999968346566,0.0,0.809059357425653,0.0,0.0
full_seed2,lstm,CARLA,35,0,125.77321040913931,6.295324663420313,0.257,0.0,0.25,1.4197566340903187,25,0,1.0,0.9999999964341262,0.0,0.845569787773696,0.0,0.0
full_seed2,lstm,CARLA,36,0,140.96277200895102,7.294308716267807,0.258,0.0,0.25,1.4553663839878723,25,0,1.0,0.9999999976863625,0.0,0.8287193861052149,0.0,0.0
full_seed2,lstm,CARLA,37,0,138.60712442075373,6.890089932087108,0.254,0.0,0.25,1.4634863605112534,25,0,1.0,0.9999999991144705,0.0,0.8312080558808559,0.0,0.0
full_seed2,lstm,CARLA,38,0,154.30887235141358,7.952217621554734,0.256,0.0,0.25,1.4145297830382402,25,0,1.0,0.9999999983416596,0.0,0.8140477031109955,0.0,0.0
full_seed2,lstm,CARLA,39,0,153.77935377026233,7.875864807568707,0.254,0.0,0.25,1.332854507001685,25,0,1.0,0.9999999987199378,0.0,0.814629527748084,0.0,0.0
full_seed2,lstm,CARLA,40,0,138.79630796504026,6.890614146882783,0.257,0.0,0.25,1.4084011874097724,25,0,1.0,0.9999999969081667,0.0,0.8310189343097447,0.0,0.0
full_seed2,lstm,CARLA,41,0,136.98616766089796,6.908203649634676,0.257,0.0,0.25,1.3579305515900413,25,0,1.0,0.999999997141876,0.0,0.8330810860255239,0.0,0.0
full_seed2,lstm,CARLA,42,0,152.10137375743548,7.473030115780274,0.26,0.0,0.25,1.3600336670854147,25,0,1.0,0.9999999961569317,0.0,0.8164821805380997,0.0,0.0
full_seed2,lstm,CARLA,43,0,132.03058643175112,6.7602633480639085,0.255,0.0,0.25,1.4179284932065759,25,0,1.0,0.9999999955789936,0.0,0.838557601518332,0.0,0.0
full_seed2,lstm,CARLA,44,0,133.16448635192592,6.680209845579458,0.256,0.0,0.25,1.4441083986165437,25,0,1.0,0.9999999974246062,0.0,0.8372765598388772,0.0,0.0
full_seed2,lstm,CARLA,45,0,147.44360692947396,7.522802167851792,0.254,0.0,0.25,1.3069632127298534,25,0,1.0,0.9999999953355144,0.0,0.8215628543901533,0.0,0.0
full_seed2,lstm,CARLA,46,0,133.84752438705289,6.764256963557557,0.253,0.0,0.25,1.3038878441131925,25,0,1.0,0.9999999971352534,0.0,0.8365119207745728,0.0,0.0
full_seed2,lstm,CARLA,47,0,145.1570693277203,7.390209186403953,0.255,0.0,0.25,1.322089713280104,25,0,1.0,0.9999999950091912,0.0,0.8240715420322297,0.0,0.0
