benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
full_nl_seed0,lstm,CARLA,38,1,87.79820001594454,4.247499038518061,0.266,0.0,0.26,1.01797357243215,26,1,1.0,0.999999999979792,0.0,0.8895896394619588,1.0,0.0
full_nl_seed0,lstm,CARLA,39,1,86.41521333201989,4.120127251230921,0.266,0.0,0.26,1.0843890240633716,26,1,1.0,0.9999999999708745,0.0,0.8907273132225438,1.0,0.0
full_nl_seed0,lstm,CARLA,40,1,84.83436172046942,4.203053839985868,0.27,0.0,0.26,1.0940328554807202,26,1,1.0,0.999999999928423,0.0,0.8930090892153563,1.0,0.0
full_nl_seed0,lstm,CARLA,41,1,57.8813039029381,3.586811840249111,0.512,0.0,0.51,1.0486264089757475,51,1,1.0,0.9999999999458892,0.0,0.8910175712539451,1.0,0.0
full_nl_seed0,lstm,CARLA,42,1,86.96899992472723,4.265546069927918,0.261,0.0,0.26,1.0069128214582506,26,1,1.0,0.9999999999569285,0.0,0.8897696945877676,1.0,0.0
full_nl_seed0,lstm,CARLA,43,1,88.0449959055315,4.411960726074404,0.261,0.0,0.26,1.0557342965984138,26,1,1.0,0.9999999999323236,0.0,0.8891163315941929,1.0,0.0
full_nl_seed0,lstm,CARLA,44,1,85.80378772051729,4.553833612301358,0.265,0.0,0.26,1.0876011415429125,26,1,1.0,0.9999999999713364,0.0,0.892234934479302,1.0,0.0
full_nl_seed0,lstm,CARLA,45,1,87.71515140716087,4.339221805165185,0.266,0.0,0.26,1.047915494485781,26,1,1.0,0.9999999999727386,0.0,0.8895357431071008,1.0,0.0
full_nl_seed0,lstm,CARLA,46,1,85.38372186977382,4.155189844076831,0.265,0.0,0.26,1.0400309052354229,26,1,1.0,0.999999999967372,0.0,0.892078840509906,1.0,0.0
full_nl_seed0,lstm,CARLA,47,1,86.47382559457549,4.305485032390723,0.266,0.0,0.26,1.0323231789106826,26,1,1.0,0.9999999999368665,0.0,0.8906812592708776,1.0,0.0
full_nl_seed0,lstm,CARLA,48,1,88.97756070445386,4.504326360015406,0.266,0.0,0.26,1.1242885459795746,26,1,1.0,0.9999999999649289,0.0,0.8869555143335692,1.0,0.0
full_nl_seed0,lstm,CARLA,49,1,91.50839364268636,4.538509791175986,0.266,0.0,0.26,1.0003710015501763,26,1,1.0,0.9999999999805628,0.0,0.884545470702544,1.0,0.0
full_nl_seed0,lstm,CftsCels,0,1,0.4188779327941827,0.3968985619980014,0.993,0.7,0.96,1.0273090039338915,96,0,0.0,0.874206620996392,0.0,0.9896672553562992,0.0,0.0
full_nl_seed0,lstm,CftsCels,1,1,0.1525758847254034,0.1165544215317066,0.991,0.7,0.93,0.9364575167992387,93,0,0.0,0.874239195141104,0.0,0.9978669617352014,0.0,0.0
full_nl_seed0,lstm,CftsCels,2,1,0.20041272809646982,0.18253306335788486,0.994,0.7,0.96,0.9800538056832948,94,0,0.0,0.8935600808048852,0.0,0.9967228152727317,0.0,0.0
full_nl_seed0,lstm,CftsCels,3,1,0.16988929823069795,0.11875389010420874,0.993,0.6,0.97,1.2046782519912291,97,0,0.0,0.9137676313346322,0.0,0.9947053413614987,0.0,0.0
full_nl_seed0,lstm,CftsCels,4,1,0.16850576402486045,0.1483851765685498,0.993,0.6,0.95,1.0393098956509637,94,0,0.0,0.9161374264858212,0.0,0.9972472361990897,0.0,0.0
full_nl_seed0,lstm,CftsCels,5,1,0.14087694224749786,0.11056366240197438,0.995,0.8,0.96,0.8365991652084072,96,0,0.0,0.9272496735751449,0.0,0.9967320883296663,0.0,0.0
full_nl_seed0,lstm,CftsCels,6,1,0.24555343477928426,0.1737045247224618,0.994,0.7,0.96,1.2961338218709668,95,0,0.0,0.9297262960035148,0.0,0.9952513835093817,0.0,0.0
full_nl_seed0,lstm,CftsCels,7,0,3.773057902693375e-05,3.516090970425167e-05,1.0,1.0,1.0,1.023025911545888,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,8,1,0.043554537811805114,0.01929678342687792,0.993,0.6,0.96,1.195677462238865,96,0,0.0,0.9285639754084528,0.0,0.9991984074189757,0.0,0.0
full_nl_seed0,lstm,CftsCels,9,0,2.5219794282968326e-06,1.256900123461615e-07,1.0,1.0,1.0,1.4169938583434538,99,1,nan,nan,nan,nan,0.0,0.0
full_nl_seed0,lstm,CftsCels,10,1,0.14418105181561683,0.11573665892203011,0.995,0.8,0.96,1.103809253206589,96,0,0.0,0.9190595074567292,0.0,0.9966674583961981,0.0,0.0
full_nl_seed0,lstm,CftsCels,11,1,0.2508252512560122,0.23063381725519372,0.995,0.6,0.98,0.9866930387707683,98,0,0.0,0.9430800374932928,0.0,0.9884465151834955,0.0,0.0
